hunt_code,open_date,close_date,bag_limit_description,notes
011,2026-08-22,2026-09-07,,011 Aug 22 - Sept 7 Aug 22 - Sept 7
011,2026-08-22,2026-09-07,,011 Aug 22 - Sept 7 Aug 22 - Sept 7
012,2026-08-22,2026-09-07,,012 - 014 Aug 22 - Sept 7 Aug 22 - Sept 7
012,2026-08-22,2026-09-07,,012 - 014 Aug 22 - Sept 7 Aug 22 - Sept 7
015,2026-08-22,2026-09-07,,015 Aug 22 - Sept 7 Aug 22 - Sept 7
015,2026-08-22,2026-09-07,,015 Aug 22 - Sept 7 Aug 22 - Sept 7
"021, 022",2026-08-22,2026-09-07,,"021, 022 Aug 22 - Sept 7 Aug 22 - Sept 7"
"021, 022",2026-08-22,2026-09-07,,"021, 022 Aug 22 - Sept 7 Aug 22 - Sept 7"
031,2026-08-22,2026-09-07,,031 Aug 22 - Sept 7 Aug 22 - Sept 7
031,2026-08-22,2026-09-07,,031 Aug 22 - Sept 7 Aug 22 - Sept 7
"032, 034",2026-08-22,2026-09-07,,"032, 034 Aug 22 - Sept 7 Aug 22 - Sept 7"
"032, 034",2026-08-22,2026-09-07,,"032, 034 Aug 22 - Sept 7 Aug 22 - Sept 7"
033,2026-08-22,2026-08-28,,033 Early Aug 22 - Aug 28 Aug 22 - Aug 28
033,2026-08-22,2026-08-28,,033 Early Aug 22 - Aug 28 Aug 22 - Aug 28
033,2026-08-29,2026-09-07,,033 Late Aug 29 - Sept 7 Aug 29 - Sept 7
033,2026-08-29,2026-09-07,,033 Late Aug 29 - Sept 7 Aug 29 - Sept 7
035,2026-08-22,2026-09-07,,035 Aug 22 - Sept 7 Aug 22 - Sept 7
035,2026-08-22,2026-09-07,,035 Aug 22 - Sept 7 Aug 22 - Sept 7
"041, 042",2026-08-22,2026-09-07,,"041, 042 Aug 22 - Sept 7 Aug 22 - Sept 7"
"041, 042",2026-08-22,2026-09-07,,"041, 042 Aug 22 - Sept 7 Aug 22 - Sept 7"
043,2026-08-22,2026-09-07,,043 - 046 Aug 22 - Sept 7 Aug 22 - Sept 7
043,2026-08-22,2026-09-07,,043 - 046 Aug 22 - Sept 7 Aug 22 - Sept 7
051,2026-08-22,2026-09-07,,051 Aug 22 - Sept 7 Aug 22 - Sept 7
051,2026-08-22,2026-09-07,,051 Aug 22 - Sept 7 Aug 22 - Sept 7
"061, 062, 064, 071, 073",2026-08-22,2026-09-07,,"061, 062, 064, 071, 073 Aug 22 - Sept 7 Aug 22 - Sept 7"
"061, 062, 064, 071, 073",2026-08-22,2026-09-07,,"061, 062, 064, 071, 073 Aug 22 - Sept 7 Aug 22 - Sept 7"
"065, 142, 144A",2026-08-22,2026-09-07,,"065, 142, 144A Aug 22 - Sept 7 Aug 22 - Sept 7"
"065, 142, 144A",2026-08-22,2026-09-07,,"065, 142, 144A Aug 22 - Sept 7 Aug 22 - Sept 7"
066,2026-08-22,2026-09-07,,066 Aug 22 - Sept 7 Aug 22 - Sept 7
066,2026-08-22,2026-09-07,,066 Aug 22 - Sept 7 Aug 22 - Sept 7
"067, 068",2026-08-22,2026-09-07,,"067, 068 Aug 22 - Sept 7 Aug 22 - Sept 7"
"067, 068",2026-08-22,2026-09-07,,"067, 068 Aug 22 - Sept 7 Aug 22 - Sept 7"
"072, 074, 075",2026-08-22,2026-09-07,,"072, 074, 075 Aug 22 - Sept 7 Aug 22 - Sept 7"
"072, 074, 075",2026-08-22,2026-09-07,,"072, 074, 075 Aug 22 - Sept 7 Aug 22 - Sept 7"
"076, 077, 079, 081, 091",2026-08-22,2026-09-07,,"076, 077, 079, 081, 091 Aug 22 - Sept 7 Aug 22 - Sept 7"
"076, 077, 079, 081, 091",2026-08-22,2026-09-07,,"076, 077, 079, 081, 091 Aug 22 - Sept 7 Aug 22 - Sept 7"
"078, 105",2026-08-22,2026-09-07,,"078, 105 - 107, 121 Aug 22 - Sept 7 Aug 22 - Sept 7"
"078, 105",2026-08-22,2026-09-07,,"078, 105 - 107, 121 Aug 22 - Sept 7 Aug 22 - Sept 7"
101,2026-08-22,2026-09-07,,"101 – 104, 108, 109, 144B Aug 22 - Sept 7 Aug 22 - Sept 7"
